price,id,fuel_type,model,mileage,registration,country,zip,transmission,power,post_url
34900,42850c90-e4d7-4499-a09d-43b79f89821a,b,t-roc,27616,03-2023,nl,3902 HR,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-150pk-dsg-style-navi-led-plus-digita-benzine-zwart-42850c90-e4d7-4499-a09d-43b79f89821a
33900,0f9cbc46-1d90-4bbd-a1d5-7826350be54b,b,t-roc,63649,05-2021,nl,6716 AE,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-150pk-dsg-sport-business-r-r-line-black-benzine-wit-0f9cbc46-1d90-4bbd-a1d5-7826350be54b
36900,d8601cba-b19e-4bfe-a479-a5fcce93851a,b,t-roc,4337,01-2023,nl,6716 AE,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-150pk-dsg-style-black-style-iq-light-benzine-wit-d8601cba-b19e-4bfe-a479-a5fcce93851a
25395,ec992221-71f1-4725-b17c-ff6046beac5b,b,t-roc,134184,04-2018,nl,4879 NL,Automatisch,140 kW (190 PK),/aanbod/volkswagen-t-roc-2-0-tsi-4m-sp-bnsr-full-pano-navi-camera-leder-a-benzine-groen-ec992221-71f1-4725-b17c-ff6046beac5b
34900,2ce431c9-837b-4678-83a5-1928107e022e,b,t-roc,9677,04-2023,nl,6534 AD,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-150pk-dsg-style-navi-camera-trekhaak-benzine-zwart-2ce431c9-837b-4678-83a5-1928107e022e
25795,b6b5e70f-0dbb-41c2-a52d-373b3ab60ca8,b,t-roc,134498,09-2019,nl,4879 NL,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-sport-dsg-full-pano-navi-acc-ecc-pdc-elek-benzine-grijs-b6b5e70f-0dbb-41c2-a52d-373b3ab60ca8
17949,868054ae-b865-4254-9108-058f0988c5e5,b,t-roc,177238,01-2018,nl,7913 TC,Handgeschakeld,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-150pk-h6-sport-trekhaak-led-virtual-cockpi-benzine-grijs-868054ae-b865-4254-9108-058f0988c5e5
37950,898857c5-6396-4cf4-a034-31b071cb0dac,b,t-roc,52165,07-2020,nl,1704 SR,Automatisch,221 kW (300 PK),/aanbod/volkswagen-t-roc-2-0-tsi-4motion-r-pano-acc-keyless-carplay-benzine-zwart-898857c5-6396-4cf4-a034-31b071cb0dac
26745,f929d40f-fe34-4e4b-a89e-b38f9f01bcdb,b,t-roc,80611,02-2019,nl,5126 PW,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-sport-l-automaat-l-virtual-cockpit-l-apple-benzine-wit-f929d40f-fe34-4e4b-a89e-b38f9f01bcdb
19650,2b392618-0958-408d-81b9-484f0430eff9,b,t-roc,115094,03-2020,nl,7711 AL,Handgeschakeld,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-business-intense-navi-camera-benzine-grijs-2b392618-0958-408d-81b9-484f0430eff9
25945,573f30a0-be99-447a-8e9e-e975ff2c6f27,b,t-roc,62079,02-2020,nl,5626 DL,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-sport-navi-digi-dash-automaat-benzine-grijs-573f30a0-be99-447a-8e9e-e975ff2c6f27
39650,f421a5d5-4ab4-48e6-91d2-e2fdd1ba6131,b,t-roc,21690,11-2022,nl,6716 AE,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-150pk-dsg-r-line-business-black-style-benzine-wit-f421a5d5-4ab4-48e6-91d2-e2fdd1ba6131
19949,ef92bea2-4025-4631-9845-ee71d6742c1c,b,t-roc,135998,02-2018,nl,7913 TC,Handgeschakeld,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-150pk-h6-style-trekhaak-stoel-stuurverwa-benzine-zwart-ef92bea2-4025-4631-9845-ee71d6742c1c
39950,8b68ce66-3e2e-4fa6-9976-1b1f46e58c3d,b,t-roc,43120,08-2020,nl,1704 SR,Automatisch,221 kW (300 PK),/aanbod/volkswagen-t-roc-2-0-tsi-4motion-r-pano-akra-keyless-camera-benzine-blauw-8b68ce66-3e2e-4fa6-9976-1b1f46e58c3d
23999,3667183c-e8b6-46aa-8524-1ce679a38b21,d,t-roc,159065,11-2018,nl,8161 NT,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-2-0-tdi-sport-awd-led-pano-navi-camera-aut-digita-diesel-zwart-3667183c-e8b6-46aa-8524-1ce679a38b21
31950,bc6dcfb8-5caa-416a-b51a-f1bcb536563d,b,t-roc,43190,04-2019,nl,5048 AB,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-3x-r-line-pano-beats-camera-acc-virtual-benzine-zwart-bc6dcfb8-5caa-416a-b51a-f1bcb536563d
34900,f720fb40-5389-46fc-a8bb-ed72b516e948,b,t-roc,23042,01-2023,nl,6836 BH,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-150pk-dsg-style-trekhaak-navi-acc-benzine-zwart-f720fb40-5389-46fc-a8bb-ed72b516e948
26950,b2333f47-00e6-4fbd-a366-ffe7d4add5c5,b,t-roc,51985,08-2020,nl,1911 DB,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-style-carplay-acc-elek-klep-keyles-benzine-b2333f47-00e6-4fbd-a366-ffe7d4add5c5
