price,id,fuel_type,model,mileage,registration,country,zip,transmission,power,post_url
18990,a88f0e4d-a1d2-4496-ba25-a42666148219,b,t-roc,43881,01-2018,nl,8091 CM,Handgeschakeld,85 kW (116 PK),/aanbod/volkswagen-t-roc-1-0-tsi-benzine-geel-a88f0e4d-a1d2-4496-ba25-a42666148219
19950,ba1e1fab-93df-4d56-a4c5-8aff5e21016b,b,t-roc,70695,11-2020,nl,6669 CJ,Handgeschakeld,85 kW (116 PK),/aanbod/volkswagen-t-roc-1-0-tsi-style-lage-km-zeer-mooi-benzine-zwart-ba1e1fab-93df-4d56-a4c5-8aff5e21016b
22745,1ec2f8d3-8673-47f8-a682-cdae12a84805,b,t-roc,93940,05-2018,nl,5469 NM,Handgeschakeld,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-sport-camera-trekhaak-cockpitview-dab-carp-benzine-grijs-1ec2f8d3-8673-47f8-a682-cdae12a84805
17500,dbe9fc52-36bc-45be-a18f-12edb4cd09df,b,t-roc,118304,11-2018,nl,2988 BJ,Handgeschakeld,85 kW (116 PK),/aanbod/volkswagen-t-roc-1-0-tsi-style-dealer-oh-carplay-navigatie-benzine-zwart-dbe9fc52-36bc-45be-a18f-12edb4cd09df
20999,aa53a384-a35c-43df-8236-addc4b147a5f,b,t-roc,76858,11-2018,nl,8317 AP,Handgeschakeld,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-sport-virtual-cockpit-apple-carplay-clim-benzine-wit-aa53a384-a35c-43df-8236-addc4b147a5f
19900,98ca9362-bdf8-44da-adf9-0482182d38f8,b,t-roc,79778,07-2018,nl,3902 HR,Handgeschakeld,85 kW (116 PK),/aanbod/volkswagen-t-roc-1-0-tsi-115pk-style-origineel-nl-navi-trekha-benzine-wit-98ca9362-bdf8-44da-adf9-0482182d38f8
50999,5db6c634-7a7b-42e3-a3f2-5c388e2f72f1,b,t-roc,23860,05-2022,nl,3641 RP,Automatisch,221 kW (300 PK),/aanbod/volkswagen-t-roc-2-0-tsi-4motion-r-facelift-dak-acc-19inch-carplay-benzine-zwart-5db6c634-7a7b-42e3-a3f2-5c388e2f72f1
20999,a9be97dd-9ff0-4c39-88fd-5ffe37013ae8,b,t-roc,121576,01-2019,nl,8317 AP,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-style-150-pk-automaat-navigatie-camera-benzine-grijs-a9be97dd-9ff0-4c39-88fd-5ffe37013ae8
20900,62e2f239-8b15-4cee-86eb-3d8cf9659a12,b,t-roc,64420,02-2019,nl,6716 AE,Handgeschakeld,85 kW (116 PK),/aanbod/volkswagen-t-roc-1-0-tsi-115pk-style-origineel-nl-acc-parkeer-benzine-wit-62e2f239-8b15-4cee-86eb-3d8cf9659a12
18999,ebf56d52-8d72-4827-b6b5-787d9ba41a67,b,t-roc,68913,12-2019,nl,8317 AP,Handgeschakeld,85 kW (116 PK),/aanbod/volkswagen-t-roc-1-0-tsi-style-navigatie-airco-dab-benzine-wit-ebf56d52-8d72-4827-b6b5-787d9ba41a67
27900,520a5384-ae4b-421c-ade0-c573a906f767,b,t-roc,21111,11-2022,nl,6534 AD,Handgeschakeld,81 kW (110 PK),/aanbod/volkswagen-t-roc-style-1-0-81-kw-110-pk-tsi-suv-6-versn-hand-n-benzine-zwart-520a5384-ae4b-421c-ade0-c573a906f767
25945,0609ad1b-b055-4341-bdce-f7edeed76f53,b,t-roc,13645,08-2022,nl,1161 KD,Handgeschakeld,82 kW (111 PK),/aanbod/volkswagen-t-roc-tsi-110pk-life-led-pdc-virtual-benzine-blauw-0609ad1b-b055-4341-bdce-f7edeed76f53
21650,b5c92606-1d72-4398-9232-73a9e1f59f66,b,t-roc,123820,11-2018,nl,5305 EE,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-150pk-dsg-style-navigatie-parkeersensoren-benzine-grijs-b5c92606-1d72-4398-9232-73a9e1f59f66
25900,5e0302aa-e009-4053-ad5f-2b18ee001fe3,b,t-roc,41898,05-2019,nl,6716 AE,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-150pk-dsg-sport-business-r-r-line-came-benzine-rood-5e0302aa-e009-4053-ad5f-2b18ee001fe3
30950,7409505d-461c-4a93-b48d-ea200eccbcd5,b,t-roc,54203,07-2019,nl,7121 MJ,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tfsi-r-line-panorama-camera-adcr-navi-leder-19-benzine-zwart-7409505d-461c-4a93-b48d-ea200eccbcd5
28900,797a6ab4-d65b-42c4-a75c-4591b6443946,b,t-roc,80988,03-2021,nl,6716 AE,Handgeschakeld,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-150pk-sport-black-style-pano-keyless-benzine-grijs-797a6ab4-d65b-42c4-a75c-4591b6443946
22495,144b26c7-bd04-49ee-92f0-cf5ef0ab0797,b,t-roc,129247,07-2019,nl,4879 NL,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-sport-dsg-2019-navi-acc-airco-pdc-mf-stuur-benzine-grijs-144b26c7-bd04-49ee-92f0-cf5ef0ab0797
