price,id,fuel_type,model,mileage,registration,country,zip,transmission,power,post_url
34995,8e566666-5906-4b83-962b-4e53a7484617,b,golf,75141,03-2020,nl,5015 TG,Automatisch,221 kW (300 PK),/aanbod/volkswagen-golf-2-0-tsi-4motion-r-300pk-led-virtual-pano-alcantara-benzine-grijs-8e566666-5906-4b83-962b-4e53a7484617
34950,4c4822e1-2f09-4b54-9b65-64f765a886eb,b,golf,67009,10-2019,nl,3565 AJ,Automatisch,221 kW (300 PK),/aanbod/volkswagen-golf-7-5-2-0-tsi-4motion-r-pano-navi-virtual-300pk-benzine-zwart-4c4822e1-2f09-4b54-9b65-64f765a886eb
32950,93b4bc33-6336-4a5f-a78d-973504cc6fa1,b,golf,106000,03-2017,nl,7556 MZ,Automatisch,228 kW (310 PK),/aanbod/volkswagen-golf-2-0-tsi-4motion-r-dsg-panoramadak-virtualcockp-benzine-goud-93b4bc33-6336-4a5f-a78d-973504cc6fa1
29450,7a459999-ffb9-4e9e-9b6f-d736e899f18e,b,golf,128446,12-2017,nl,5642 JC,Automatisch,228 kW (310 PK),/aanbod/volkswagen-golf-7-5-r-2-0-tsi-4motion-automaat-acc-camera-dynaudio-benzine-zwart-7a459999-ffb9-4e9e-9b6f-d736e899f18e
28920,b98b6997-254b-466a-b21d-1d625d3e8202,b,golf,119925,09-2017,nl,5145 NJ,Automatisch,228 kW (310 PK),/aanbod/volkswagen-golf-2-0-tsi-4motion-r20-leder-pano-benzine-zwart-b98b6997-254b-466a-b21d-1d625d3e8202
24900,6c3652a9-2123-4acb-bfee-959f2c57ff1e,2,golf,36703,12-2020,nl,1641 LD,Automatisch,195 kW (265 PK),/aanbod/volkswagen-golf-1-4-ehybrid-style-iq-carplay-massage-nieuwstaat-elektro-benzine-grijs-6c3652a9-2123-4acb-bfee-959f2c57ff1e
21999,e3f11b7d-cfc4-4603-b291-3f83555b7b9f,b,golf,174168,06-2016,nl,1332 AN,Automatisch,237 kW (322 PK),/aanbod/volkswagen-golf-320-pk-2-0-tsi-gti-benzine-grijs-e3f11b7d-cfc4-4603-b291-3f83555b7b9f
28940,c48de97a-3550-4ea4-ba49-cc35f256e8b2,d,golf,109354,08-2020,nl,6931 KA,Automatisch,110 kW (150 PK),/aanbod/volkswagen-golf-2-0-tdi-automaat-navi-virtual-cockpit-led-stan-diesel-grijs-c48de97a-3550-4ea4-ba49-cc35f256e8b2
23333,fa415ba6-36ee-4ea5-b520-27b4c1cb0e22,b,golf,165900,04-2015,nl,1332 AN,Half/Semi-automaat,281 kW (382 PK),/aanbod/volkswagen-golf-380-pk-2-0-tsi-r-4motion-benzine-zwart-fa415ba6-36ee-4ea5-b520-27b4c1cb0e22
31950,e244f9d9-fa99-4a2d-93ec-2306f7a07a95,b,golf,91797,02-2019,nl,5048 AB,Automatisch,221 kW (300 PK),/aanbod/volkswagen-golf-2-0-tsi-4motion-r-pano-dynaudio-camera-virtual-acc-benzine-grijs-e244f9d9-fa99-4a2d-93ec-2306f7a07a95
32950,28d1bac3-d2ee-4a11-9e24-f5ce4e6b3389,2,golf,12861,04-2021,nl,5048 AB,Automatisch,180 kW (245 PK),/aanbod/volkswagen-golf-8-1-4-ehybrid-gte-pano-led-virtual-acc-sfeer-navi-elektro-benzine-zwart-28d1bac3-d2ee-4a11-9e24-f5ce4e6b3389
22999,4429442c-a5c9-4c9b-b741-7991401a6af0,b,golf,137342,04-2014,nl,5015 AS,Automatisch,221 kW (300 PK),/aanbod/volkswagen-golf-2-0-tsi-r-4motion-pano-leer-cam-acc-300pk-benzine-blauw-4429442c-a5c9-4c9b-b741-7991401a6af0
33995,35beaa28-30bd-4c47-ac77-aca820b20d66,b,golf,70975,11-2017,nl,5015 TG,Automatisch,228 kW (310 PK),/aanbod/volkswagen-golf-2-0-tsi-4motion-r-led-virtual-pano-leer-s-verwarmi-benzine-blauw-35beaa28-30bd-4c47-ac77-aca820b20d66
18999,3b025af0-0de7-489c-bb31-4993889800f1,2,golf,130582,10-2017,nl,3771 AG,Automatisch,- kW (- PK),/aanbod/volkswagen-golf-1-4-tsi-phev-gte-elektro-benzine-zwart-3b025af0-0de7-489c-bb31-4993889800f1
30940,37e3c6d4-9331-4623-b2ad-a23d1f4dd046,b,golf,80231,07-2017,nl,7328 JK,Automatisch,228 kW (310 PK),/aanbod/volkswagen-golf-2-0-tsi-4motion-r-pano-leder-virtual-cockpit-benzine-wit-37e3c6d4-9331-4623-b2ad-a23d1f4dd046
28450,c71069da-cdd3-4f5f-8d28-101f11bc7dfb,b,golf,47000,08-2020,nl,7556 MZ,Automatisch,110 kW (150 PK),/aanbod/volkswagen-golf-1-5-etsi-panoramadak-nardo-grey-stoelverwarm-benzine-grijs-c71069da-cdd3-4f5f-8d28-101f11bc7dfb
14950,61b1251b-f397-4ab8-a30b-3c907ec5e82d,b,golf,168409,01-2015,nl,3262 HN,Handgeschakeld,169 kW (230 PK),/aanbod/volkswagen-golf-2-0-tsi-gti-performance-benzine-zwart-61b1251b-f397-4ab8-a30b-3c907ec5e82d
25450,d9dee199-21eb-4c21-bb17-249de3472d65,b,golf,42670,05-2020,nl,7532 SW,Handgeschakeld,96 kW (131 PK),/aanbod/volkswagen-golf-1-5-tsi-style-hud-acc-stoelverw-pdc-navi-benzine-grijs-d9dee199-21eb-4c21-bb17-249de3472d65
25900,a866a3c0-552c-4779-9f0f-9fd14714d41b,b,golf,89882,02-2022,nl,6826 TS,Handgeschakeld,96 kW (131 PK),/aanbod/volkswagen-golf-1-5-tsi-r-line-camera-navigatie-acc-sfeerverlichti-benzine-grijs-a866a3c0-552c-4779-9f0f-9fd14714d41b
4450,b8fdd3df-1ace-47a8-8a26-a42cbb02e05b,b,golf,260400,04-2009,nl,7944 HT,Handgeschakeld,90 kW (122 PK),/aanbod/volkswagen-golf-1-4-tsi-comfortline-5deurs-airco-elek-pakke-benzine-zwart-b8fdd3df-1ace-47a8-8a26-a42cbb02e05b
49950,ee470e16-733e-4e73-97d6-f2f558372697,b,golf,16436,03-2022,nl,5616 HX,Automatisch,235 kW (320 PK),/aanbod/volkswagen-golf-2-0-tsi-r-4motion-pano-blindspot-acc-laneassist-benzine-zwart-ee470e16-733e-4e73-97d6-f2f558372697
2450,f8aace91-fabc-47e2-aa70-741f221961e5,b,golf,115337,10-1999,nl,3812 RB,Handgeschakeld,55 kW (75 PK),/aanbod/volkswagen-golf-1-4-16v-trendline-lage-km-met-nap-airco-5deurs-apk-benzine-grijs-f8aace91-fabc-47e2-aa70-741f221961e5
10945,f3992806-4083-4bb0-acc7-51655c6920f7,b,golf,173880,04-2014,nl,8445 PN,Handgeschakeld,90 kW (122 PK),/aanbod/volkswagen-golf-1-4-tsi-highline-navigatie-lichtmetalen-velgen-benzine-zwart-f3992806-4083-4bb0-acc7-51655c6920f7
11820,4e56685c-34a4-468a-8427-7411f89e2182,b,golf,179194,02-2014,nl,5145 NJ,Handgeschakeld,90 kW (122 PK),/aanbod/volkswagen-golf-1-4-tsi-r-line-panorama-massage-parkassist-benzine-wit-4e56685c-34a4-468a-8427-7411f89e2182
16250,c21f6fc7-de2c-41d2-88b7-0f043f01d7aa,b,golf,190113,12-2018,nl,6021 PT,Automatisch,110 kW (150 PK),/aanbod/volkswagen-golf-1-5-tsi-highline-2018-goed-onderhouden-airco-benzine-zwart-c21f6fc7-de2c-41d2-88b7-0f043f01d7aa
13049,9ae7db53-3acc-425a-b311-a2a97dcfb369,b,golf,45638,03-2015,nl,1101 BA,Handgeschakeld,82 kW (111 PK),/aanbod/volkswagen-golf-1-2-tsi-cup-110pk-kf43527-climate-parkeersen-benzine-grijs-9ae7db53-3acc-425a-b311-a2a97dcfb369
21445,1a56eec0-0624-4050-aa6e-9f2be9f7d7d8,b,golf,47711,05-2020,nl,4825 BD,Handgeschakeld,96 kW (131 PK),/aanbod/volkswagen-golf-1-5-tsi-style-5-drs-full-led-virtual-cockpit-ada-benzine-grijs-1a56eec0-0624-4050-aa6e-9f2be9f7d7d8
49945,c00d2210-5546-45b1-8b51-51119f476dd2,b,golf,20525,08-2021,nl,5626 DL,Automatisch,235 kW (320 PK),/aanbod/volkswagen-golf-2-0-tsi-r-4motion-320pk-akra-pano-leer-benzine-zwart-c00d2210-5546-45b1-8b51-51119f476dd2
7999,ec4be1b6-fc65-42e7-9a28-a4e2920f19c3,b,golf,89354,01-2011,nl,7327 AD,Handgeschakeld,59 kW (80 PK),/aanbod/volkswagen-golf-1-4-climate-cruise-control-eleckt-pakket-benzine-grijs-ec4be1b6-fc65-42e7-9a28-a4e2920f19c3
19950,d4ba2f2e-c29d-4851-a87f-4280459c3738,b,golf,117675,08-2015,nl,3911 RS,Automatisch,169 kW (230 PK),/aanbod/volkswagen-golf-2-0-tsi-dsg-gti-performance-climate-acc-navigati-benzine-zwart-d4ba2f2e-c29d-4851-a87f-4280459c3738
19950,dce8b49a-8a69-448e-97f0-33ad74c6afa3,b,golf,52929,09-2018,nl,4879 AN,Handgeschakeld,110 kW (150 PK),/aanbod/volkswagen-golf-1-5-tsi-r-line-pano-acc-stoelverw-pdc-clima-navi-benzine-zwart-dce8b49a-8a69-448e-97f0-33ad74c6afa3
46750,26c5dd0c-69ae-4d85-9e19-ad6c4c89eee6,b,golf,52451,05-2021,nl,1351 AM,Automatisch,235 kW (320 PK),/aanbod/volkswagen-golf-2-0-tsi-r-4motion-performance-akrapovic-benzine-blauw-26c5dd0c-69ae-4d85-9e19-ad6c4c89eee6
14945,1ac8e92d-b2f9-4bce-a66d-5a8f44334791,b,golf,143918,04-2019,nl,2921 LP,Handgeschakeld,96 kW (131 PK),/aanbod/volkswagen-golf-1-5-tsi-sportline-4-cilinder-apple-carplay-groo-benzine-grijs-1ac8e92d-b2f9-4bce-a66d-5a8f44334791
14950,a38df4dd-f510-4b58-b02b-b151054e8260,b,golf,99786,11-2013,nl,5642 JC,Automatisch,103 kW (140 PK),/aanbod/volkswagen-golf-vii-1-4-tsi-act-highline-automaat-alcantara-clima-benzine-zwart-a38df4dd-f510-4b58-b02b-b151054e8260
13495,f5aaea0c-7e51-44a5-a88d-dc2ba0817af0,b,golf,84112,06-2015,nl,6004 AX,Handgeschakeld,81 kW (110 PK),/aanbod/volkswagen-golf-1-2-tsi-110pk-bmt-5d-business-edition-connected-benzine-grijs-f5aaea0c-7e51-44a5-a88d-dc2ba0817af0
11250,baa22b48-c23b-4b4f-92c4-27cb2e68ff9e,b,golf,36933,01-2013,nl,3791 PV,Handgeschakeld,77 kW (105 PK),/aanbod/volkswagen-golf-1-2-tsi-trendline-benzine-blauw-baa22b48-c23b-4b4f-92c4-27cb2e68ff9e
17149,7ae93ece-f4a4-4a63-aa36-1eca5059175d,b,golf,137095,06-2017,nl,1101 BA,Automatisch,110 kW (150 PK),/aanbod/volkswagen-golf-1-4-tsi-highline-150pk-fc46304-navi-digital-benzine-zwart-7ae93ece-f4a4-4a63-aa36-1eca5059175d
22999,4429442c-a5c9-4c9b-b741-7991401a6af0,b,golf,137342,04-2014,nl,5015 AS,Automatisch,221 kW (300 PK),/aanbod/volkswagen-golf-2-0-tsi-r-4motion-pano-leer-cam-acc-300pk-benzine-blauw-4429442c-a5c9-4c9b-b741-7991401a6af0
13750,1e0ad741-fcf3-4100-b9db-3a1e823d2a91,b,golf,136926,02-2018,nl,6666 LD,Handgeschakeld,81 kW (110 PK),/aanbod/volkswagen-golf-1-0-tsi-comfortline-navi-acc-app-connect-benzine-zwart-1e0ad741-fcf3-4100-b9db-3a1e823d2a91
52499,66b93f12-d1b6-4179-96b5-1dc1163d7998,b,golf,32959,06-2021,nl,5015 AS,Automatisch,235 kW (320 PK),/aanbod/volkswagen-golf-2-0-tsi-r-4m-performance-pano-leer-hud-iq-benzine-zwart-66b93f12-d1b6-4179-96b5-1dc1163d7998
27890,27eb58f6-5c9a-4ba5-87eb-21bfaf0d4d4e,b,golf,33085,05-2020,nl,6883 JN,Automatisch,110 kW (150 PK),/aanbod/volkswagen-golf-1-5-etsi-1st-edition-style-eibach-pano-virtu-benzine-zwart-27eb58f6-5c9a-4ba5-87eb-21bfaf0d4d4e
19945,4b83ac5f-f692-42df-ba3e-6cc9e98e74d7,b,golf,86959,10-2017,nl,2921 LP,Automatisch,93 kW (126 PK),/aanbod/volkswagen-golf-1-4-tsi-sport-automaat-apple-carplay-led-koplamp-benzine-grijs-4b83ac5f-f692-42df-ba3e-6cc9e98e74d7
48495,9f4238f8-92e8-427d-b653-90ca9de17665,b,golf,18380,09-2021,nl,1689 ZS,Automatisch,235 kW (320 PK),/aanbod/volkswagen-golf-8-2-0-tsi-r-4motion-panorama-h-k-hud-sfeer-benzine-blauw-9f4238f8-92e8-427d-b653-90ca9de17665
10750,55c1d3b9-b822-4f40-9729-0171c6b72acd,b,golf,118934,01-2013,nl,6641 KM,Handgeschakeld,90 kW (122 PK),/aanbod/volkswagen-golf-1-4-tsi-comfortline-edition-nieuwstaat-benzine-grijs-55c1d3b9-b822-4f40-9729-0171c6b72acd
25450,d9dee199-21eb-4c21-bb17-249de3472d65,b,golf,42670,05-2020,nl,7532 SW,Handgeschakeld,96 kW (131 PK),/aanbod/volkswagen-golf-1-5-tsi-style-hud-acc-stoelverw-pdc-navi-benzine-grijs-d9dee199-21eb-4c21-bb17-249de3472d65
28450,c71069da-cdd3-4f5f-8d28-101f11bc7dfb,b,golf,47000,08-2020,nl,7556 MZ,Automatisch,110 kW (150 PK),/aanbod/volkswagen-golf-1-5-etsi-panoramadak-nardo-grey-stoelverwarm-benzine-grijs-c71069da-cdd3-4f5f-8d28-101f11bc7dfb
16150,471116db-b305-4030-8d82-af11aeef9c11,b,golf,70475,07-2017,nl,1187 ZX,Automatisch,81 kW (110 PK),/aanbod/volkswagen-golf-1-0-tsi-dsg-comfortline-cruise-l-pdc-l-prachtige-g-benzine-wit-471116db-b305-4030-8d82-af11aeef9c11
10750,64071a0d-67f0-4b55-8744-354050b27362,b,golf,91630,08-2013,nl,1851 LX,Handgeschakeld,77 kW (105 PK),/aanbod/volkswagen-golf-1-2-tsi-comfortline-stoelv-carplay-pdc-benzine-zwart-64071a0d-67f0-4b55-8744-354050b27362
32950,93b4bc33-6336-4a5f-a78d-973504cc6fa1,b,golf,106000,03-2017,nl,7556 MZ,Automatisch,228 kW (310 PK),/aanbod/volkswagen-golf-2-0-tsi-4motion-r-dsg-panoramadak-virtualcockp-benzine-goud-93b4bc33-6336-4a5f-a78d-973504cc6fa1
23333,fa415ba6-36ee-4ea5-b520-27b4c1cb0e22,b,golf,165900,04-2015,nl,1332 AN,Half/Semi-automaat,281 kW (382 PK),/aanbod/volkswagen-golf-380-pk-2-0-tsi-r-4motion-benzine-zwart-fa415ba6-36ee-4ea5-b520-27b4c1cb0e22
13999,3eb78c3a-3fea-4525-81f6-73d80082fc2a,b,golf,170439,03-2013,nl,5015 AS,Automatisch,103 kW (140 PK),/aanbod/volkswagen-golf-1-4-tsi-act-highline-pano-automaat-acc-benzine-wit-3eb78c3a-3fea-4525-81f6-73d80082fc2a
